ÚČTOVNÁ ZÁVIERKA 2022
IČO: 46958819
Typ: IFRS
Stĺpce: Bežné účtovné obdobie (2022) | Predchádzajúce obdobie (2021)


--- TITULNÁ STRANA ---
Účtovná závierka k 31.12.2022
 Dokument: PDF veľkosť 145 KB
Stiahnuť
 Dokument: PDF veľkosť 175 KB
Stiahnuť
 Tlačová zostava: XLSX <200KB
Stiahnuť

--- STRANA AKTÍV ---
Označenie | STRANA AKTÍV | Číslo riadku | Bežné účtovné obdobie | Bezprostredne predchádzajúce účtovné obdobie
a | b | c | Netto 1 | Netto 2
 |  |  |  | 
 | SPOLU MAJETOK r. 02 + r. 14 | 1 | 59842 | 57270
A. | Neobežný majetok r. 03 + r. 04 + r. 09 | 2 | 42861 | 7671
A.I. | Dlhodobý nehmotný majetok (012, 013, 014, 015, 019, 01X, 041, 051) - /072, 073, 074, 075, 079, 07X, 091, 093, 095A/ | 3 |  | 
A.II. | Dlhodobý hmotný majetok súčet (r. 05 až r. 08) | 4 | 42861 | 7671
A.II.1. | Pozemky a stavby (021, 031, 042A, 052A) - /081, 092A, 094A, 095A/ | 5 |  | 
2. | Samostatné hnuteľné veci a súbory hnuteľných vecí (022, 02X, 042A, 052A) - /082, 08XA, 092A, 094A, 095A/ | 6 | 42861 | 7671
3. | Ostatný dlhodobý hmotný majetok (025, 026, 029, 02X, 032, 042A, 052A) - /085, 086, 089, 08XA, 092A, 094A, 095A/ | 7 |  | 
4. | Opravná položka k nadobudnutému majetku (+/- 097 ) - /+/- 098/ | 8 |  | 
A.III. | Dlhodobý finančný majetok súčet (r. 10 až r. 13) | 9 |  | 
A.III.1. | Podielové cenné papiere (061, 062, 063, 043A, 053A) - /095A, 096A/ | 10 |  | 
2. | Ostatný dlhodobý finančný majetok (065A, 066A, 067A, 069, 06XA, 043A, 053A) - /095A, 096A/ | 11 |  | 
3. | Účty v bankách s dobou viazanosti dlhšou ako jeden rok (22XA) | 12 |  | 
4. | Ostatný dlhodobý finančný majetok so zostatkovou dobou splatnosti najviac jeden rok (065A, 066A, 067A, 06XA) - /096A/ | 13 |  | 
B. | Obežný majetok r. 15 + r. 16 + r. 17 + r. 21 | 14 | 16981 | 49599
B.I. | Zásoby (112, 119, 11X, 121, 122, 123, 124, 12X, 132, 133, 13X, 139, 314A) - /191, 192, 193, 194, 195, 196, 19X, 391A/ | 15 |  | 
B.II. | Dlhodobé pohľadávky (311A, 312A, 313A, 314A, 315A, 316A, 31XA, 335A, 336A, 33XA, 354A, 355A, 358A, 35XA, 371A, 374A, 375A, 378A, 381A, 382A, 385A) - 391A | 16 |  | 
B.III. | Krátkodobé pohľadávky súčet (r. 18 až r. 20) | 17 | 11843 | 2133
B.III.1. | Pohľadávky z obchodného styku (311A, 312A, 313A, 314A, 315A, 316A, 31XA) - /391A/ | 18 | 4146 | 1848
2. | Sociálne poistenie, daňové pohľadávky a dotácie (336A, 341A, 342A, 343A, 345A, 346A, 347A, 34XA) - /391A/ | 19 | 7520 | 210
3. | Ostatné pohľadávky (335A, 336A, 33XA, 354A, 355A, 358A, 35XA, 371A, 374A, 375A, 378A, 381A, 382A, 385A, 398A) - /391A/ | 20 | 177 | 75
B.IV. | Finančný majetok r. 22 + r. 23 | 21 | 5138 | 47466
B.IV.1. | Peniaze a účty v bankách (211, 213, 21X, 221A, 22XA, +/- 261) | 22 | 5138 | 47466
2. | Ostatné finančné účty (251, 252, 253, 256, 257, 25X, 259, 314A) - /291, 29X/ | 23 |  | 

--- STRANA PASÍV ---
